posterior_mean,lower_95hpd,higher_95hpd
0.7913,0.0946,1.4928
1.4354,0.1731,2.9588
0.4956,0.3085,0.7477
2.1345,0.2802,4.2345
1.4624,0.0103,3.1264
2.0635,0.3236,4.0275
1.253,0.1075,2.7661
1.055,0.0029316,3.0628
0.329,0.1117,0.5997
1.1284,0.3379,1.9378
0.8465,0.37,1.4052
0.2487,0.0424,0.4537
2.4721,0.7004,4.0736
0.4184,0.00029895,1.1724
0.6069,0.0331,1.6343
0.1224,4.719e-05,0.3313
1.2859,0.0001486,3.6855
1.1868,0.3603,2.1153
1.2624,0.0292,3.0116
3.0937,2.0416,4.0818
0.8383,0.1152,1.7524
0.2001,0.0445,0.4065
0.6616,0.0012321,1.9625
2.1901,0.9358,3.6673
0.5092,0.0652,1.0354
0.7621,0.1338,1.6687
0.4529,0.0020249,1.1437
0.7173,0.4203,1.1071
0.8571,0.0087984,2.0684
0.1323,0.00029193,0.3804
0.4423,0.00014207,1.3049
3.7876,1.5436,6.5037
3.4181,0.8206,5.9074
0.1095,0.0532,0.1654
0.562,0.0014762,1.8973
1.0831,0.0701,2.6006
2.0549,1.1509,3.0185
2.3582,0.4517,5.1711
0.1589,1.0868e-05,0.4583
1.3018,0.105,3.1822
0.8317,0.0238,1.7002
3.1685,1.063,5.3649
2.6623,1.0203,4.6102
1.3432,8.0619e-05,3.2198
0.3682,0.00014071,1.0563
0.9709,0.0010528,2.9092
0.0365,0.0030983,0.079
1.303,0.6743,1.8402
1.513,0.0667,3.7775
3.2295,0.4377,6.3047
0.3652,0.008657,0.9223
0.7049,0.195,1.2416
1.0363,0.2788,1.9897
0.6516,0.0367,1.5138
0.4562,0.003055,1.0338
0.168,7.3743e-06,0.492
0.5511,0.00012909,1.7321
0.1609,0.0621,0.2753
2.3431,0.4837,4.7892
0.5012,0.00012622,1.5032
2.4741,0.5954,4.4026
0.8947,0.0114,2.3069
0.0436,0.0005726,0.1162
1.1873,0.0612,2.6845
0.9642,0.3269,1.628
0.4252,0.0362,0.8612
1.4022,0.0796,3.6655
0.1757,0.00091373,0.6501
0.3771,0.00018842,0.9078
2.9396,1.675,4.3518
2.7187,2.0905,3.3586
1.819,0.0385,4.6042
0.5153,0.0066107,1.1305
0.9087,0.2762,1.656
2.5944,0.9553,4.4535
2.2627,0.5948,4.4288
1.0896,0.5479,1.7298
1.4398,0.002383,3.3589
0.7095,0.00082198,2.1969
0.9332,0.0286,1.9993
1.0555,0.0273,2.6114
1.9571,0.1034,4.4377
1.2583,0.1767,2.372
0.8395,0.00063296,2.1798
0.7343,0.0016269,2.0071
0.8448,0.1938,1.5609
0.3275,0.00013094,0.9086
1.6345,0.1505,3.8593
0.9112,0.1408,1.9129
0.6279,0.2343,1.0414
0.486,0.0219,1.1598
0.8073,0.0906,1.5666
1.4696,0.001205,3.6213
0.6851,0.0432,1.5529
0.8179,0.00031807,2.471
0.2981,0.00032066,0.8607
1.133,0.0036861,3.2611
1.1182,0.3682,1.8781
1.6498,0.365,3.0216
0.3935,0.00038829,1.1617
